acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.2,0.5,-9.8,0.1,0.2,0.3
1.3,0.6,-9.7,0.15,0.25,0.35
1.4,0.7,-9.9,0.1,0.2,0.3
1.5,0.8,-9.6,0.12,0.22,0.32
1.6,0.9,-9.5,0.18,0.28,0.38
1.7,1.0,-9.4,0.2,0.3,0.4
1.8,1.1,-9.3,0.25,0.35,0.45
1.9,1.2,-9.2,0.3,0.4,0.5
2.0,1.3,-9.1,0.35,0.45,0.55
2.1,1.4,-9.0,0.4,0.5,0.6
2.2,1.5,-8.9,0.42,0.52,0.62
2.3,1.6,-8.8,0.45,0.55,0.65
2.4,1.7,-8.7,0.48,0.58,0.68
2.5,1.8,-8.6,0.5,0.6,0.7
2.6,1.9,-8.5,0.52,0.62,0.72
2.7,2.0,-8.4,0.55,0.65,0.75
2.8,2.1,-8.3,0.58,0.68,0.78
2.9,2.2,-8.2,0.6,0.7,0.8
3.0,2.3,-8.1,0.62,0.72,0.82
3.1,2.4,-8.0,0.65,0.75,0.85
3.2,2.5,-7.9,0.68,0.78,0.88
3.3,2.6,-7.8,0.7,0.8,0.9
3.4,2.7,-7.7,0.72,0.82,0.92
3.5,2.8,-7.6,0.75,0.85,0.95
3.6,2.9,-7.5,0.78,0.88,0.98
3.7,3.0,-7.4,0.8,0.9,1.0
3.8,3.1,-7.3,0.82,0.92,1.02
3.9,3.2,-7.2,0.85,0.95,1.05
4.0,3.3,-7.1,0.88,0.98,1.08
4.1,3.4,-7.0,0.9,1.0,1.1
4.2,3.5,-6.9,0.92,1.02,1.12
4.3,3.6,-6.8,0.95,1.05,1.15
4.4,3.7,-6.7,0.98,1.08,1.18
4.5,3.8,-6.6,1.0,1.1,1.2
4.6,3.9,-6.5,1.02,1.12,1.22
4.7,4.0,-6.4,1.05,1.15,1.25
4.8,4.1,-6.3,1.08,1.18,1.28
4.9,4.2,-6.2,1.1,1.2,1.3
5.0,4.3,-6.1,1.12,1.22,1.32
5.1,4.4,-6.0,1.15,1.25,1.35
5.2,4.5,-5.9,1.18,1.28,1.38
5.3,4.6,-5.8,1.2,1.3,1.4
5.4,4.7,-5.7,1.22,1.32,1.42
5.5,4.8,-5.6,1.25,1.35,1.45
5.6,4.9,-5.5,1.28,1.38,1.48
5.7,5.0,-5.4,1.3,1.4,1.5
5.8,5.1,-5.3,1.32,1.42,1.52
5.9,5.2,-5.2,1.35,1.45,1.55
6.0,5.3,-5.1,1.38,1.48,1.58
6.1,5.4,-5.0,1.4,1.5,1.6
6.2,5.5,-4.9,1.42,1.52,1.62
6.3,5.6,-4.8,1.45,1.55,1.65
6.4,5.7,-4.7,1.48,1.58,1.68
6.5,5.8,-4.6,1.5,1.6,1.7
6.6,5.9,-4.5,1.52,1.62,1.72
6.7,6.0,-4.4,1.55,1.65,1.75
6.8,6.1,-4.3,1.58,1.68,1.78
6.9,6.2,-4.2,1.6,1.7,1.8
7.0,6.3,-4.1,1.62,1.72,1.82
7.1,6.4,-4.0,1.65,1.75,1.85
